P_train,P_train_o,P_test,P_test_o,P_validation,P_validation_o,R_train,R_train_o,R_test,R_test_o,R_validation,R_validation_o,F1_train,F1_train_o,F1_test,F1_test_o,F1_validation,F1_validation_o
0.8510725498199463,0.830172061920166,0.8510725498199463,0.830172061920166,0.8625662326812744,0.8230949640274048,0.8207006454467773,0.8413887619972229,0.8207006454467773,0.8413887619972229,0.8446639776229858,0.8511066436767578,0.8356106877326965,0.8357427716255188,0.8356106877326965,0.8357427716255188,0.8535212278366089,0.8368664979934692
0.837142825126648,0.8021471500396729,0.837142825126648,0.8021471500396729,0.8632621765136719,0.7938421964645386,0.8128356337547302,0.8284792304039001,0.8128356337547302,0.8284792304039001,0.8318089842796326,0.8428454399108887,0.8248102068901062,0.8151004910469055,0.8248102068901062,0.8151004910469055,0.8472437858581543,0.8176102042198181
0.9388863444328308,0.8587015867233276,0.9388863444328308,0.8587015867233276,0.8466281890869141,0.7932916879653931,0.8954247236251831,0.9035258293151855,0.8954247236251831,0.9035258293151855,0.8237356543540955,0.819273054599762,0.9166406989097595,0.8805436491966248,0.9166406989097595,0.8805436491966248,0.8350250124931335,0.806073009967804
0.9155422449111938,0.7804604172706604,0.9155422449111938,0.7804604172706604,0.9017334580421448,0.8037895560264587,0.8877594470977783,0.8281705975532532,0.8877594470977783,0.8281705975532532,0.8405614495277405,0.8514884114265442,0.9014368057250977,0.8036080002784729,0.9014368057250977,0.8036080002784729,0.8700736165046692,0.8269517421722412
0.8209460973739624,0.800747811794281,0.8209460973739624,0.800747811794281,0.870938777923584,0.8339476585388184,0.8086821436882019,0.8160484433174133,0.8086821436882019,0.8160484433174133,0.8561893701553345,0.8665986657142639,0.8147680163383484,0.8083257079124451,0.8147680163383484,0.8083257079124451,0.8635010719299316,0.8499597311019897
0.7840172052383423,0.7269554734230042,0.7840172052383423,0.7269554734230042,0.8543615341186523,0.7945224046707153,0.8318320512771606,0.8253565430641174,0.8318320512771606,0.8253565430641174,0.8522095084190369,0.8312017917633057,0.8072171807289124,0.7730371952056885,0.8072171807289124,0.7730371952056885,0.8532841205596924,0.8124483227729797
0.8379469513893127,0.8157645463943481,0.8379469513893127,0.8157645463943481,0.9569401144981384,0.8348404169082642,0.8196331262588501,0.8548586964607239,0.8196331262588501,0.8548586964607239,0.8837894797325134,0.8986232876777649,0.8286888003349304,0.8348541855812073,0.8286888003349304,0.8348541855812073,0.9189112782478333,0.865558385848999
0.9404365420341492,0.8097270131111145,0.9404365420341492,0.8097270131111145,0.8781605362892151,0.8072646260261536,0.8110092878341675,0.8598668575286865,0.8110092878341675,0.8598668575286865,0.8626506924629211,0.8807104825973511,0.8709407448768616,0.8340440988540649,0.8709407448768616,0.8340440988540649,0.8703364729881287,0.8423896431922913
0.9999998807907104,0.7825352549552917,0.9999998807907104,0.7825352549552917,0.909359335899353,0.7824604511260986,0.9999998807907104,0.8533424735069275,0.9999998807907104,0.8533424735069275,0.9504812955856323,0.8868621587753296,0.9999998807907104,0.8164064288139343,0.9999998807907104,0.8164064288139343,0.9294657111167908,0.8313965797424316
0.862328290939331,0.8445066213607788,0.862328290939331,0.8445066213607788,0.8991509079933167,0.8182725310325623,0.8468450903892517,0.8564904928207397,0.8468450903892517,0.8564904928207397,0.8580676913261414,0.8703994154930115,0.8545165061950684,0.8504563570022583,0.8545165061950684,0.8504563570022583,0.8781290650367737,0.8435314297676086
0.9282297492027283,0.8427581787109375,0.9282297492027283,0.8427581787109375,0.9005240201950073,0.8105071783065796,0.916506290435791,0.8997694253921509,0.916506290435791,0.8997694253921509,0.8241866230964661,0.8212404251098633,0.9223307371139526,0.8703311681747437,0.9223307371139526,0.8703311681747437,0.8606659173965454,0.8158385157585144
0.8970030546188354,0.8119718432426453,0.8970030546188354,0.8119718432426453,0.866354763507843,0.8436088562011719,0.8774334788322449,0.8603781461715698,0.8774334788322449,0.8603781461715698,0.85712730884552,0.8872103691101074,0.8871103525161743,0.8354744911193848,0.8871103525161743,0.8354744911193848,0.8617162704467773,0.8648604154586792
1.0000001192092896,0.8357460498809814,1.0000001192092896,0.8357460498809814,0.899309515953064,0.8581528067588806,1.0000001192092896,0.9405771493911743,1.0000001192092896,0.9405771493911743,0.8743932843208313,0.8734198808670044,1.0000001192092896,0.8850682377815247,1.0000001192092896,0.8850682377815247,0.8866763710975647,0.8657190203666687
0.8659597635269165,0.8327590227127075,0.8659597635269165,0.8327590227127075,0.8991949558258057,0.8307628631591797,0.8497334122657776,0.8633848428726196,0.8497334122657776,0.8633848428726196,0.8673661351203918,0.8466403484344482,0.8577698469161987,0.8477954268455505,0.8577698469161987,0.8477954268455505,0.8829938173294067,0.8386264443397522
0.7880328893661499,0.700051486492157,0.7880328893661499,0.700051486492157,0.8259287476539612,0.8121390342712402,0.815236508846283,0.8024109601974487,0.815236508846283,0.8024109601974487,0.7983968257904053,0.8180692195892334,0.8014039397239685,0.7477445006370544,0.8014039397239685,0.7477445006370544,0.81192946434021,0.8150933980941772
0.9999999403953552,0.820648729801178,0.9999999403953552,0.820648729801178,0.8507083654403687,0.7901426553726196,0.9999999403953552,0.8873515129089355,0.9999999403953552,0.8873515129089355,0.8570277690887451,0.8432998657226562,0.9999999403953552,0.8526976704597473,0.9999999403953552,0.8526976704597473,0.8538563847541809,0.8158562779426575
0.8676189184188843,0.8332877159118652,0.8676189184188843,0.8332877159118652,0.8992220163345337,0.8334587216377258,0.8564313054084778,0.8647001385688782,0.8564313054084778,0.8647001385688782,0.857323944568634,0.8854535222053528,0.8619887828826904,0.8487033843994141,0.8619887828826904,0.8487033843994141,0.8777732849121094,0.8586696982383728
0.8988049030303955,0.8616631031036377,0.8988049030303955,0.8616631031036377,0.8930027484893799,0.7955031991004944,0.8626842498779297,0.880099892616272,0.8626842498779297,0.880099892616272,0.8821855783462524,0.8501591086387634,0.8803742527961731,0.8707839250564575,0.8803742527961731,0.8707839250564575,0.8875612616539001,0.8219234943389893
