BLEU_train,BLEU_test,BLEU_validation
0.0695931335098971,0.0695931335098971,0.005465048562207605
0.0037155106403592712,0.0037155106403592712,0.0028257708570063565
0.07516571016511663,0.07516571016511663,0.0030201172981498357
0.005169860790938509,0.005169860790938509,0.010608359163960558
0.0,0.0,0.021859202100251704
0.0018429002880824543,0.0018429002880824543,0.09955545355861145
0.0059996200825481495,0.0059996200825481495,0.05203300368769514
0.011916802573184648,0.011916802573184648,0.016036776101863586
0.029685357192164644,0.029685357192164644,0.034131150707969245
0.031238889359009016,0.031238889359009016,0.010052070847919934
0.06437840881729341,0.06437840881729341,0.006369787696039555
0.0028442118557039675,0.0028442118557039675,0.07296554923386446
0.024218026052883736,0.024218026052883736,0.016952707579135296
0.019040926760691523,0.019040926760691523,0.02501418024138638
0.0,0.0,0.0047584037026681784
0.02041808857920272,0.02041808857920272,0.003593523775769494
0.02921344115979008,0.02921344115979008,0.015492053781622543
0.012664264257801922,0.012664264257801922,0.009081625231038642
