BLEU_train,BLEU_test,BLEU_validation
0.017320175484036505,0.017320175484036505,0.007720024774726012
0.014133460058853627,0.014133460058853627,0.02244957933044214
0.1597661127341266,0.1597661127341266,0.012300686288463768
0.03720482905042901,0.03720482905042901,0.01701751093573254
0.01299236773467766,0.01299236773467766,0.046398855339878003
0.005311256555131655,0.005311256555131655,0.10840139617541734
0.01599248714366856,0.01599248714366856,0.10071035456564954
0.14276239697197265,0.14276239697197265,0.2377506350045045
1.0,1.0,0.33180774028439425
0.02699847949400623,0.02699847949400623,0.04645390686554393
0.22961582509302306,0.22961582509302306,0.07955629933118925
0.01101716760042848,0.01101716760042848,0.09771944188909436
1.0,1.0,0.056046204823158065
0.013878978808592079,0.013878978808592079,0.05243258723480895
0.0,0.0,2.6923280246876594e-05
1.0,1.0,0.017395797375642234
0.0240374041604045,0.0240374041604045,0.04970787578611783
0.02158625442141346,0.02158625442141346,0.03915926973299294
